control,tf,tipo,direccion,confirmation_time_utc,bar_index_local,nivel,zone_high,source_close,detector_object_id,occurrence_id
B,M1,FVG,-1,2026-08-24T13:49:00+00:00,11113,1.16626,1.16627,,FVG_M1_11113_BEAR,M1|FVG|2026-08-24T13:49:00+00:00|-1
B,M1,FVG,1,2026-08-24T13:51:00+00:00,11115,1.16626,1.16633,,FVG_M1_11115_BULL,M1|FVG|2026-08-24T13:51:00+00:00|1
B,M1,FVG,1,2026-08-24T13:54:00+00:00,11118,1.16643,1.16647,,FVG_M1_11118_BULL,M1|FVG|2026-08-24T13:54:00+00:00|1
B,M1,FVG,1,2026-08-24T13:56:00+00:00,11120,1.16653,1.16654,,FVG_M1_11120_BULL,M1|FVG|2026-08-24T13:56:00+00:00|1
B,M1,FVG,1,2026-08-24T14:09:00+00:00,11133,1.16649,1.16651,,FVG_M1_11133_BULL,M1|FVG|2026-08-24T14:09:00+00:00|1
B,M1,FVG,-1,2026-08-24T14:12:00+00:00,11136,1.16644,1.16645,,FVG_M1_11136_BEAR,M1|FVG|2026-08-24T14:12:00+00:00|-1
B,M1,FVG,1,2026-08-24T14:14:00+00:00,11138,1.16644,1.16649,,FVG_M1_11138_BULL,M1|FVG|2026-08-24T14:14:00+00:00|1
B,M1,FVG,-1,2026-08-24T14:16:00+00:00,11140,1.16642,1.16649,,FVG_M1_11140_BEAR,M1|FVG|2026-08-24T14:16:00+00:00|-1
B,M1,FVG,1,2026-08-24T14:19:00+00:00,11143,1.16641,1.16642,,FVG_M1_11143_BULL,M1|FVG|2026-08-24T14:19:00+00:00|1
B,M1,FVG,1,2026-08-24T14:26:00+00:00,11150,1.16657,1.16668,,FVG_M1_11150_BULL,M1|FVG|2026-08-24T14:26:00+00:00|1
B,M1,FVG,1,2026-08-24T14:27:00+00:00,11151,1.16673,1.16676,,FVG_M1_11151_BULL,M1|FVG|2026-08-24T14:27:00+00:00|1
