control,tf,tipo,direccion,confirmation_time_utc,bar_index_local,nivel,zone_high,source_close,detector_object_id,occurrence_id
A,M5,FVG,-1,2026-09-16T18:35:00+00:00,2238,1.15372,1.15378,,FVG_M5_2238_BEAR,M5|FVG|2026-09-16T18:35:00+00:00|-1
A,M5,FVG,1,2026-09-16T19:20:00+00:00,2247,1.15365,1.15366,,FVG_M5_2247_BULL,M5|FVG|2026-09-16T19:20:00+00:00|1
A,M5,FVG,1,2026-09-16T19:25:00+00:00,2248,1.15368,1.15369,,FVG_M5_2248_BULL,M5|FVG|2026-09-16T19:25:00+00:00|1
A,M5,FVG,-1,2026-09-16T19:35:00+00:00,2250,1.15364,1.15369,,FVG_M5_2250_BEAR,M5|FVG|2026-09-16T19:35:00+00:00|-1
A,M5,FVG,-1,2026-09-16T20:05:00+00:00,2256,1.15346,1.15355,,FVG_M5_2256_BEAR,M5|FVG|2026-09-16T20:05:00+00:00|-1
A,M5,FVG,-1,2026-09-16T20:10:00+00:00,2257,1.15337,1.15346,,FVG_M5_2257_BEAR,M5|FVG|2026-09-16T20:10:00+00:00|-1
A,M5,FVG,-1,2026-09-16T20:15:00+00:00,2258,1.15328,1.15329,,FVG_M5_2258_BEAR,M5|FVG|2026-09-16T20:15:00+00:00|-1
A,M5,FVG,-1,2026-09-16T21:10:00+00:00,2269,1.1524,1.15315,,FVG_M5_2269_BEAR,M5|FVG|2026-09-16T21:10:00+00:00|-1
A,M5,FVG,-1,2026-09-16T21:20:00+00:00,2271,1.15051,1.15111,,FVG_M5_2271_BEAR,M5|FVG|2026-09-16T21:20:00+00:00|-1
A,M5,FVG,-1,2026-09-16T21:40:00+00:00,2275,1.14906,1.1497,,FVG_M5_2275_BEAR,M5|FVG|2026-09-16T21:40:00+00:00|-1
A,M5,FVG,-1,2026-09-16T22:00:00+00:00,2279,1.14759,1.14817,,FVG_M5_2279_BEAR,M5|FVG|2026-09-16T22:00:00+00:00|-1
A,M5,FVG,1,2026-09-16T22:40:00+00:00,2287,1.1468,1.14705,,FVG_M5_2287_BULL,M5|FVG|2026-09-16T22:40:00+00:00|1
A,M5,FVG,-1,2026-09-16T23:15:00+00:00,2294,1.14691,1.14706,,FVG_M5_2294_BEAR,M5|FVG|2026-09-16T23:15:00+00:00|-1
A,M5,FVG,-1,2026-09-16T23:25:00+00:00,2296,1.14653,1.14664,,FVG_M5_2296_BEAR,M5|FVG|2026-09-16T23:25:00+00:00|-1
A,M5,FVG,-1,2026-09-16T23:30:00+00:00,2297,1.1464,1.14644,,FVG_M5_2297_BEAR,M5|FVG|2026-09-16T23:30:00+00:00|-1
A,M5,FVG,-1,2026-09-17T00:15:00+00:00,2306,1.14624,1.1464,,FVG_M5_2306_BEAR,M5|FVG|2026-09-17T00:15:00+00:00|-1
A,M5,FVG,1,2026-09-17T01:25:00+00:00,2320,1.14644,1.14656,,FVG_M5_2320_BULL,M5|FVG|2026-09-17T01:25:00+00:00|1
A,M5,FVG,1,2026-09-17T01:30:00+00:00,2321,1.1466,1.14661,,FVG_M5_2321_BULL,M5|FVG|2026-09-17T01:30:00+00:00|1
A,M5,FVG,1,2026-09-17T01:35:00+00:00,2322,1.14663,1.14669,,FVG_M5_2322_BULL,M5|FVG|2026-09-17T01:35:00+00:00|1
A,M5,FVG,-1,2026-09-17T01:55:00+00:00,2326,1.14673,1.14677,,FVG_M5_2326_BEAR,M5|FVG|2026-09-17T01:55:00+00:00|-1
A,M5,FVG,1,2026-09-17T03:10:00+00:00,2341,1.14702,1.14703,,FVG_M5_2341_BULL,M5|FVG|2026-09-17T03:10:00+00:00|1
A,M5,FVG,-1,2026-09-17T03:25:00+00:00,2344,1.14689,1.14709,,FVG_M5_2344_BEAR,M5|FVG|2026-09-17T03:25:00+00:00|-1
A,M5,FVG,-1,2026-09-17T03:40:00+00:00,2347,1.14668,1.14672,,FVG_M5_2347_BEAR,M5|FVG|2026-09-17T03:40:00+00:00|-1
A,M5,FVG,-1,2026-09-17T03:45:00+00:00,2348,1.14656,1.14667,,FVG_M5_2348_BEAR,M5|FVG|2026-09-17T03:45:00+00:00|-1
A,M5,FVG,-1,2026-09-17T04:00:00+00:00,2351,1.14614,1.14629,,FVG_M5_2351_BEAR,M5|FVG|2026-09-17T04:00:00+00:00|-1
A,M5,FVG,-1,2026-09-17T04:45:00+00:00,2360,1.14588,1.14623,,FVG_M5_2360_BEAR,M5|FVG|2026-09-17T04:45:00+00:00|-1
A,M5,FVG,1,2026-09-17T05:10:00+00:00,2365,1.14602,1.14608,,FVG_M5_2365_BULL,M5|FVG|2026-09-17T05:10:00+00:00|1
A,M5,FVG,1,2026-09-17T06:15:00+00:00,2378,1.14595,1.14598,,FVG_M5_2378_BULL,M5|FVG|2026-09-17T06:15:00+00:00|1
A,M5,FVG,-1,2026-09-17T06:55:00+00:00,2386,1.14591,1.14592,,FVG_M5_2386_BEAR,M5|FVG|2026-09-17T06:55:00+00:00|-1
A,M5,FVG,1,2026-09-17T07:05:00+00:00,2388,1.14591,1.14594,,FVG_M5_2388_BULL,M5|FVG|2026-09-17T07:05:00+00:00|1
A,M5,FVG,1,2026-09-17T07:30:00+00:00,2393,1.14618,1.14619,,FVG_M5_2393_BULL,M5|FVG|2026-09-17T07:30:00+00:00|1
